장르,곡 이름,아티스트,난이도 이름,레벨
東方アレンジ,しゅわスパ大作戦☆ (カシオれ！くーにゃんリミックス),uno(IOSYS) feat.miko,NOV,5
東方アレンジ,チルノとまりおのパーフェクトさんすう教室,ビートまりお（COOL&CREATE）,NOV,5
FLOOR,Demise Quartet,Shiron＋こふ×モリモリあつしと提供でお送りします。,NOV,6
東方アレンジ,"Help me, ERINNNNNN!! - SH Style -",SOUND HOLIC feat. Nana Takahashi,NOV,4
東方アレンジ,Ultimate Fury,Arch vs n3pu,NOV,5
東方アレンジ,JEHANNEDARC,BlackY,NOV,6
東方アレンジ,spectroscape,kuroburger,NOV,4
東方アレンジ,ツインソウル～輪廻する旋律～,C-CLAYS feat.小峠舞,NOV,3
東方アレンジ,常夏！！クリスタライズ・シャーベット,Ayatsugu_Otowa,NOV,5
BEMANI,伐折羅-vajra-,DJ TOTTO VS 兎々,NOV,7
ひなビタ♪/バンめし♪,アナーキーインザ夕景,ここなつ Produced by ぬゆり,NOV,5
ひなビタ♪/バンめし♪,キズナ,東雲心菜 Produced by 上村香月,NOV,3
ひなビタ♪/バンめし♪,「ここなつ☆」は夢のカタチ,ここなつ Produced by A than_Lily,NOV,4
ひなビタ♪/バンめし♪,Finally Dive,ここなつ Produced by lapix,NOV,4
ひなビタ♪/バンめし♪,モラトリアムノオト,東雲夏陽 Produced by シンゴ（マッカチン企画）＆アラ,NOV,3
FLOOR,End to end,Noah,NOV,6
FLOOR,EMPIRE OF FLAME,かめりあ,NOV,6
FLOOR,Candy Colored Hearts,はるなば,NOV,6
FLOOR,雲の彼方,Cororo,NOV,5
FLOOR,NEO GRAVITY,lapix,NOV,6
FLOOR,Lachryma《Re:Queen’M》,かねこちはる,NOV,8
SDVXオリジナル,VOLTEXES,Sota Fujimori,NOV,4
SDVXオリジナル,VOLTEXES II,Sota Fujimori,NOV,3
SDVXオリジナル,VOLTEXES III,Sota Fujimori,NOV,5
ひなビタ♪/バンめし♪,激アツ☆マジヤバ☆チアガール,日向美ビタースイーツ♪,NOV,5
ひなビタ♪/バンめし♪,漆黒のスペシャルプリンセスサンデー,日向美ビタースイーツ♪,NOV,6
ひなビタ♪/バンめし♪,地方創生☆チクワクティクス,日向美ビタースイーツ♪,NOV,4
ひなビタ♪/バンめし♪,neko＊neko,日向美ビタースイーツ♪,NOV,3
ひなビタ♪/バンめし♪,フラッター現象の顛末と単一指向性の感情論,日向美ビタースイーツ♪,NOV,5
BEMANI,Chloé,DJ Totoriott,NOV,4
FLOOR,Aliquam,たちのん,NOV,5
FLOOR,XHAOS JUDGE,BlackYooh vs. siromaru,NOV,6
その他,conflict,siromaru + cranky,NOV,5
FLOOR,Stleq,ぬゆり,NOV,6
FLOOR,Never Ending,syzfonics,NOV,4
FLOOR,Nofram,unatra,NOV,4
ボーカロイド,冥天・ヘメロカリス,u-z,NOV,5
ひなビタ♪/バンめし♪,コンフェイト＊コンチェルト,ここなつ Produced by U-ske,NOV,3
ひなビタ♪/バンめし♪,千客万来☆無問題！,ここなつ Produced by uma,NOV,5
ひなビタ♪/バンめし♪,ムラサキグルマ,ここなつ Produced by はるなば,NOV,5
ひなビタ♪/バンめし♪,闇夜舞踏会 -緋碧と蝶のためのmasquerade-,ここなつ Produced by あおいひと with イオ,NOV,4
FLOOR,Asian Chip City,提供,NOV,4
ボーカロイド,About me(EXIT TUNES),蝶々P,NOV,3
東方アレンジ,Angels And Demons,すのうまん,NOV,5
FLOOR,Oriental Blossom,影翔鼓舞,NOV,5
ボーカロイド,我楽多イノセンス(EXIT TUNES),Last Note.,NOV,4
FLOOR,CUTIE☆EX-DREAM,BlackY,NOV,5
FLOOR,君がいる場所へ,VALLEYSTONE feat. 紫崎 雪,NOV,4
東方アレンジ,交渉人・西行寺幽々子 vs スカーレット警察,七条レタスグループ starring nachi,NOV,3
FLOOR,The setting sun,DJ YASETAKA,NOV,6
FLOOR,Seraphim,Yooh,NOV,6
ボーカロイド,ダブルラリアット,アゴアニキ,NOV,3
FLOOR,twilight signal,XIzE,NOV,3
FLOOR,ドゥンガドゥンガ狂詩曲,かねこちはる + はぁち + 飛鳥男,NOV,4
ボーカロイド,ハッピーシンセサイザ,EasyPop,NOV,2
FLOOR,Backflow,lapix,NOV,5
FLOOR,Beyond the Sandstorm,JourneyCat,NOV,4
FLOOR,Pieces of a Dream,uma vs. モリモリあつし,NOV,5
FLOOR,Pet Peeve,Hirayasu Matsudo,NOV,4
東方アレンジ,Mayohiga Spurt,さわわ,NOV,5
ボーカロイド,みくみくにしてあげる♪【してやんよ】,ika,NOV,4
ボーカロイド,メランコリック,Junky,NOV,1
東方アレンジ,Utopia,溝口ゆうま feat. 大瀬良あい,NOV,4
SDVXオリジナル,月光乱舞,P*Light,NOV,5
FLOOR,continew,Verdammt,NOV,5
FLOOR,ちぇいす いん ざ さんしゃいん！！！,ぺのれり,NOV,4
FLOOR,FAKE STYLE II,FAKE TYPE.,NOV,4
FLOOR,Blacksphere,s-don as Iriss,NOV,5
FLOOR,Le ××××,Orange Vox+ ft.konomi*,NOV,4
FLOOR,零れる夢のレミニセンス,borzy & 結月そら,NOV,4
その他,ショットガン・ラヴァーズ(EXIT TUNES),のぼる↑ feat. 松下,NOV,4
FLOOR,じゅーじゅー♥焼肉の火からフェニックス！？～再誕の†炭火焼き～,かめりあ feat. ななひら,NOV,6
SDVXオリジナル,HAELE III ~Angel Worlds~,Yu_Asahina ft. Ritsuka,NOV,5
BEMANI,ドーパミン,U1 overground,NOV,6
FLOOR,crêpe suzette,kamome sano,NOV,5
FLOOR,Shiawase Transmission,you,NOV,4
東方アレンジ,双翼 - Black Wings - SDVX Edit. -,SOUND HOLIC feat. 709sec. & YURiCa,NOV,5
東方アレンジ,Treasure,発熱巫女～ず,NOV,3
東方アレンジ,星の器 feat. らっぷびと,魂音泉,NOV,4
東方アレンジ,三つ数えろ,豚乙女,NOV,3
FLOOR,Lucky*Clover,Shiron＋こふ×モリモリあつしと提供でお送りします。,NOV,6
SDVXオリジナル,マサカリブレイド,REDALiCE,NOV,6
その他,Garakuta Doll Play,t+pazolite 「maimai」より,NOV,6
その他,きたさいたま2000,LindaAI-CUE（BNGI）「太鼓の達人」より,NOV,6
その他,Got more raves？,E.G.G.「グルーヴコースター」より,NOV,6
BEMANI,FLOWER,DJ YOSHITAKA 「jubeat」より,NOV,5
ひなビタ♪/バンめし♪,ちくわパフェだよ☆ＣＫＰ,日向美ビタースイーツ♪,NOV,5
ひなビタ♪/バンめし♪,都会征服Girls☆,日向美ビタースイーツ♪,NOV,3
ひなビタ♪/バンめし♪,ホーンテッド★メイドランチ,日向美ビタースイーツ♪,NOV,5
ひなビタ♪/バンめし♪,めうめうぺったんたん！！,日向美ビタースイーツ♪,NOV,3
ひなビタ♪/バンめし♪,滅亡天使 † にこきゅっぴん,日向美ビタースイーツ♪,NOV,4
FLOOR,Warriors Aboot,RoughSketch vs MAD CHILD,NOV,6
ボーカロイド,Vampire's Territory,u-z,NOV,5
FLOOR,紅の剣舞,かねこちはる,NOV,6
FLOOR,Shanghai Wu Long ～上海舞龍～,Hommarju,NOV,5
FLOOR,Sourire,とろまる,NOV,4
FLOOR,ハナビラ:リンクス,かゆき＆yoa feat.もちこまめ,NOV,4
FLOOR,Firestorm,ETIA.,NOV,6
FLOOR,My name is TSUMABUKI,KO3,NOV,3
その他,気まぐれスターダム(EXIT TUNES),TOKOTOKO(西沢さんP) feat.りぶ,NOV,3
FLOOR,ギャラクシィ・トラベラー,U-ske feat.ななひら,NOV,4
東方アレンジ,Starlight Dance Floor,発熱巫女～ず,NOV,2
FLOOR,6弦とピアノのためのエチュード op.4,ke-ji,NOV,4
ボーカロイド,ECHO(EXIT TUNES),CIRCRUSH,NOV,4
ボーカロイド,深海シティアンダーグラウンド(EXIT TUNES),田中B,NOV,2
FLOOR,eternita,cosMo＠暴走P,NOV,5
ボーカロイド,消失(EXIT TUNES),cosMo＠暴走P,NOV,6
ボーカロイド,暴走(EXIT TUNES),cosMo＠暴走P,NOV,4
BEMANI,夏色DIARY -Summer Dazzlin' Vacation miX-,猫叉王子 feat. PHQUASE vs. MAD CHILD,NOV,5
SDVXオリジナル,ΑΩ,BlackY,NOV,6
FLOOR,veRtrageS,Riz vs. Shiron,NOV,6
その他,XyHATTE(EXIT TUNES),cosMo＠暴走Ultimate,NOV,6
BEMANI,citrus,kamome sano,NOV,5
SDVXオリジナル,Blastix Riotz,"かめりあ as ""Bang Riot""",NOV,6
SDVXオリジナル,Preserved Valkyria,ぺのれり,NOV,6
FLOOR,Witch in Sweetsland,COOKIE MONSTERS(winddrums+黒魔),NOV,6
FLOOR,Ops:Code-Rapture-,Getty vs. DJ DiA,NOV,6
FLOOR,Cold Inflation,kanone vs. Yooh,NOV,4
FLOOR,UnivEarth,Antinomic Paradox,NOV,6
FLOOR,Le Fruit Défendu,モリモリあつし+Verdammt,NOV,5
BEMANI,TOXIC VIBRATION,SOUND HOLIC Vs. T.Kakuta feat. YURiCa,NOV,6
BEMANI,ΕΛΠΙΣ,dj TAKA,NOV,5
BEMANI,灼熱Beach Side Bunny,DJ Mass MAD Izm*,NOV,6
BEMANI,リカーシブ・ファンクション,OSTER project,NOV,5
東方アレンジ,Opium and Purple haze,D.watt(OTAKU-ELITE Recordings),NOV,5
東方アレンジ,シャ ビ ドゥ 素敵な恋の魔法,ARM feat. ちよこ(IOSYS),NOV,4
FLOOR,ネメシス SDVX Edit,Larca,NOV,5
FLOOR,BOUNCE BOUNCE BOUNCE,ZYTOKINE feat. itori,NOV,3
BEMANI,Sounds Of Summer,Hommarju,NOV,5
FLOOR,Innocent Floor,P*Light,NOV,6
BEMANI,In The Breeze,96 & Sota ft. Mayumi Morinaga,NOV,5
FLOOR,INF-B《L-aste-R》,かねこちはる,NOV,6
FLOOR,Twin Blaster,polysha+tcheb,NOV,5
FLOOR,disco KAWAii,uno feat.ちよこ(IOSYS),NOV,4
FLOOR,New Days,10calorie,NOV,4
FLOOR,Princessどうかお願い!!,20文字と言う字数制限に挑み続けるかぼち,NOV,4
その他,あれこれそれどれ(EXIT TUNES),YM feat.赤飯,NOV,4
東方アレンジ,Innocent Eyes,FELT,NOV,3
東方アレンジ,感情の魔天楼 ～ Arr.Demetori,Demetori,NOV,5
ボーカロイド,Crazy ∞ nighT(EXIT TUNES),ひとしずく×やま△,NOV,3
ひなビタ♪/バンめし♪,ロンロンへ　ライライライ！,ここなつ,NOV,4
BEMANI,"gigadelic (かめりあ's ""The TERA"" RMX)",かめりあ,NOV,6
BEMANI,The Wind of Gold(飛翔鳶 Remix),飛翔鳶交響楽団,NOV,3
BEMANI,Monkey Business(Band Edit.),daph,NOV,4
BEMANI,Wuv U(pico/ustic rmx),kamome sano,NOV,5
SDVXオリジナル,無双,SOUND HOLIC Vs. VENUS feat. Nana Takahashi,NOV,5
FLOOR,好きトキメキとキス,かねこちはる feat. はぁち,NOV,5
FLOOR,時計仕掛けのメリーゴーランド,餡若feat.みゅい,NOV,4
FLOOR,Pon-Pon-Pompoko Dai-Sen-Saw!,黒魔,NOV,6
FLOOR,Lovesick Lovetune,VALLEYSTONE feat. 紫崎 雪,NOV,3
FLOOR,One & Only,Salk2d,NOV,3
BEMANI,EBONY & IVORY,OSTER project,NOV,5
BEMANI,パ→ピ→プ→Yeah!,ヒゲドライバー join. shully & Nimo,NOV,6
ボーカロイド,シリョクケンサ(EXIT TUNES),40mP,NOV,2
FLOOR,Happy Sensation,IckPo,NOV,5
FLOOR,Milkyway - memorable -,こふ,NOV,5
BEMANI,Our Faith (takdrive remix),takdrive,NOV,4
FLOOR,ON FIRE,ニシジマユーキ,NOV,4
FLOOR,The willow and snow,saminun,NOV,3
FLOOR,Discloze,lapix,NOV,5
BEMANI,Virtual Sunrise (nana's Festival EDM Remix) feat. Kanae Asaba,nana(Sevencolors),NOV,2
BEMANI,Monkey Business -Satire mix-,LeaF,NOV,5
BEMANI,量子の海のリントヴルム,黒猫ダンジョン,NOV,6
東方アレンジ,妖隠し -あやかしかくし-,DJ TOTTO feat.3L,NOV,4
東方アレンジ,千年ノ理,猫叉Master,NOV,3
東方アレンジ,竹取飛翔 ～ Lunatic Princess (Ryu☆Remix),Ryu☆,NOV,4
東方アレンジ,ほおずき程度には赤い頭髪,Akhuta,NOV,5
東方アレンジ,Scarlet Moon,REDALiCE feat. Ayumi Nomiya,NOV,4
東方アレンジ,Struggle,Masayoshi Minoshima(ALR),NOV,3
東方アレンジ,取り残された美術(Arranged:HiZuMi),幽閉サテライト feat. senya,NOV,2
東方アレンジ,NEON WORLD,SOUND HOLIC feat. Nana Takahashi,NOV,3
SDVXオリジナル,HAVOX,BlackY vs. Yooh,NOV,6
東方アレンジ,BEAT-NEW-WORLD,ビートまりお（COOL&CREATE）,NOV,4
東方アレンジ,プレインエイジア -PHQ remix-,PHQUASE,NOV,4
東方アレンジ,ホメ猫☆センセーション,P*Light feat. mow*2,NOV,4
東方アレンジ,Russian Caravan Rhapsody,Power Of Nature,NOV,4
ボーカロイド,朝色の紙飛行機(EXIT TUNES),かめりあ,NOV,4
FLOOR,AYAKASHI,Hommarju,NOV,5
ボーカロイド,女言葉の消失,Sota Fujimori,NOV,3
FLOOR,Poison Blood,udouddo,NOV,5
ボーカロイド,M.A.Y.U.(EXIT TUNES),Ryu☆ feat.MAYU,NOV,5
FLOOR,Everlasting Message,ぺのれり,NOV,7
FLOOR,混乱少女♥そふらんちゃん!!,かめりあ feat. ななひら,NOV,6
FLOOR,Sayonara Planet Wars,黒魔,NOV,6
FLOOR,Chant du Cygne,ke-ji,NOV,6
FLOOR,到達してしまった僕らと夢と希望の最之果,Ayatsugu_Otowa,NOV,6
FLOOR,KAC 2012 ULTIMATE MEDLEY -HISTORIA SOUND VOLTEX-,FLOOR LEGENDS -KAC 2012-,NOV,6
ボーカロイド,Just Be Friends(EXIT TUNES),Dixie Flatline,NOV,2
東方アレンジ,Scream out! (SDVX EDIT),A-One,NOV,5
FLOOR,tricky trick,kamome sano,NOV,5
東方アレンジ,Paranoia,DiGiTAL WiNG feat.花たん,NOV,4
BEMANI,FIRE FIREは電気スウィングの夢を見るか？,millstones,NOV,5
FLOOR,Borealis,ginkiha,NOV,5
ボーカロイド,無気力クーデター(EXIT TUNES),Last Note.,NOV,5
BEMANI,Wuv U (Colorful QT3 nekomix),ねこみりん feat.えみゅう。×みゆ×小宮真央,NOV,4
FLOOR,Invitation from Mr.C,C-Show,NOV,6
FLOOR,2 MINUTES FIGHTERS,P*Light,NOV,6
FLOOR,LegenD.,Yooh,NOV,6
FLOOR,World's end,Noah,NOV,6
ひなビタ♪/バンめし♪,キモチコネクト,東雲心菜 meets 日向美ビタースイーツ♪,NOV,4
FLOOR,瞬間ドリップ♪秘蜜のケーキセット,そよもぎ,NOV,5
FLOOR,macaron,colate,NOV,5
その他,CRITICAL LINE(EXIT TUNES),Ryu☆ feat.kradness,NOV,5
BEMANI,鬼天,兎々,NOV,6
BEMANI,Go↓Go↑Girls&Boys!,松下feat.Sota & wac,NOV,4
SDVXオリジナル,INDEPENDENT SKY,SOUND HOLIC feat. Nana Takahashi,NOV,5
BEMANI,TIEFSEE,SOUND HOLIC Vs. dj TAKA feat. YURiCa,NOV,5
ひなビタ♪/バンめし♪,ツーマンライブ,東雲夏陽 meets 日向美ビタースイーツ♪,NOV,3
東方アレンジ,囲い無き世は一期の月影,豚乙女,NOV,5
東方アレンジ,君色サブリミナル(Arranged: Iceon),幽閉サテライト feat. senya,NOV,3
BEMANI,The Sampling Paradise (P*Light Remix),P*Light,NOV,5
ボーカロイド,心臓デモクラシー(EXIT TUNES),みきとP,NOV,3
その他,脱獄(EXIT TUNES),Neru feat.灯油,NOV,4
BEMANI,Pure Evil (Kobaryo FTN-Remix),Kobaryo,NOV,6
その他,鬼KYOKAN(EXIT TUNES),じーざす（ワンダフル☆オポチュニティ！） feat. kradness×れをる,NOV,4
ボーカロイド,幸せになれる隠しコマンドがあるらしい(EXIT TUNES),うたたP feat. 結月ゆかり,NOV,6
ボーカロイド,ツギハギスタッカート(EXIT TUNES),とあ,NOV,2
FLOOR,Scarlet Pinheel,ぺのれり,NOV,4
FLOOR,False Cross,BlackY,NOV,5
FLOOR,Prelude-Hereafter-,源屋,NOV,4
FLOOR,恋愛方程式,パピ子りんft.ビタミンな兄貴♂＆ゆずり,NOV,3
FLOOR,感情Xerography,8284 feat. 榎楠,NOV,4
FLOOR,きらきらタイム☆,さわわ,NOV,5
FLOOR,Twin Rocket,uno feat.ちよこ(IOSYS),NOV,5
FLOOR,TU-MA-MI△ALL-NIGHTER,xi underground,NOV,2
FLOOR,Hustle Beat!!,とろまる,NOV,4
東方アレンジ,THUNDERCRACK,IRON ATTACK!,NOV,5
東方アレンジ,The Starry true,Liz Triangle,NOV,2
東方アレンジ,メイガスナイト ～ Arr.Demetori,Demetori,NOV,5
東方アレンジ,Liminality,FELT,NOV,4
ひなビタ♪/バンめし♪,ポメグラネイト,ここなつ,NOV,4
ボーカロイド,イグジスタンス(EXIT TUNES),スズム,NOV,5
FLOOR,F.K.S.,Nizikawa,NOV,6
その他,木彫り鯰と右肩ゾンビ(EXIT TUNES),赤飯,NOV,3
BEMANI,gigadelic(m3rkAb4# R3m!x),ikaruga_nex,NOV,6
ボーカロイド,鎖の少女(EXIT TUNES),のぼる↑,NOV,4
東方アレンジ,最速最高シャッターガール,ビートまりお（COOL&CREATE）,NOV,5
BEMANI,The Wind of Gold -HΔPPY MIX-,sky_delta,NOV,4
東方アレンジ,しゅわスパ大作戦☆ - SDVX Edit. -,SOUND HOLIC feat. Nana Takahashi,NOV,2
東方アレンジ,Jump!,Syrufit feat.綾倉盟 / 市松椿,NOV,4
東方アレンジ,SkyDrive!,Amateras Records feat.築山さえ,NOV,3
ボーカロイド,月見夜ラビット(EXIT TUNES),蝶々P,NOV,5
FLOOR,トリコロール・ダイアリー,梅干茶漬け,NOV,5
ボーカロイド,ナイフ(EXIT TUNES),パワーコードP,NOV,4
FLOOR,Never Regret Anything,影虎。,NOV,3
FLOOR,Hyper☆Chipspace,Saiph,NOV,5
BEMANI,Virtual Sunrise (MYTK Remix),MYTK,NOV,3
FLOOR,Violet Soul,Soleily,NOV,4
ボーカロイド,飛花落葉(EXIT TUNES),なつめ千秋,NOV,3
東方アレンジ,Pieces,発熱巫女～ず,NOV,1
BEMANI,FIRE FIRE(Kazmasa Remix),Kazmasa,NOV,6
FLOOR,Find the Answer,みゅー feat. ゆいこんぬ,NOV,2
FLOOR,bloom,Gowrock,NOV,3
FLOOR,Belly Flopper,O2i3,NOV,4
ボーカロイド,星屑ユートピア(EXIT TUNES),otetsu,NOV,2
FLOOR,ぼくらしかしらない,ぬゆり,NOV,5
ボーカロイド,MEGANE(EXIT TUNES),Ultra-Noob,NOV,1
東方アレンジ,物凄い狂っとるフランちゃんが物凄いうた,Halozy feat. ななひら,NOV,5
FLOOR,Liming Light,negi,NOV,4
FLOOR,Rubeus,RedMuffleR,NOV,6
BEMANI,Our Faith (Faithful MTL Remix),DOUBLE HELIX,NOV,5
BEMANI,The Sampling Paradise (N-Driver Style),N-Driver,NOV,5
BEMANI,Virtual Sunrise (xac remix),xac,NOV,4
BEMANI,Pure Evil-Aya2g Drm'n Tech Rmx-,Ayatsugu_Otowa,NOV,6
ボーカロイド,I love you even now,nana(Sevencolors),NOV,3
ボーカロイド,アルテミス,FILTER SYSTEM,NOV,3
ボーカロイド,VILE CAT,TAKU1175,NOV,5
ボーカロイド,shiny rainbow flower,C-YA,NOV,5
ボーカロイド,断片Story,Salk2d,NOV,4
ボーカロイド,始まりへと続く帰り道,たちのん,NOV,2
ボーカロイド,further the future,上村香月,NOV,4
東方アレンジ,Attack on Dwarf,unatra,NOV,4
東方アレンジ,werewolf howls.,かめりあ,NOV,6
東方アレンジ,Pristine Bigband,Y*Quartet project,NOV,5
東方アレンジ,Mist Tek,you,NOV,4
東方アレンジ,Little princess has no identity.,0kash,NOV,5
ひなビタ♪/バンめし♪,キミヱゴサーチ,ここなつ,NOV,3
ボーカロイド,Scene(EXIT TUNES),ジミーサムＰ,NOV,4
ボーカロイド,しんでしまうとはなさけない！(EXIT TUNES),ワンダフル☆オポチュニティ！,NOV,5
ボーカロイド,ハウトゥー世界征服(EXIT TUNES),Neru,NOV,3
BEMANI,打打打打打打打打打打,ヒゲドライバー join. SELEN,NOV,6
FLOOR,Appliqué,モリモリあつし,NOV,5
FLOOR,Wish upon Twin Stars,xi,NOV,5
FLOOR,Growth Memories,Hidra-Xjeil,NOV,6
FLOOR,CODE -CRiMSON-,Shiron,NOV,6
FLOOR,はわわｗ！な展開っ！,かねこちはる feat. 紫崎 雪,NOV,4
ボーカロイド,有頂天ビバーチェ(EXIT TUNES),Last Note.,NOV,6
ボーカロイド,白い雪のプリンセスは(EXIT TUNES),のぼる↑,NOV,5
ボーカロイド,ナキムシロボ(EXIT TUNES),ラムネ(村人P),NOV,3
ボーカロイド,僕は空気が嫁ない(EXIT TUNES),cosMo＠暴走P,NOV,4
BEMANI,朱と碧のランページ,NU-KO,NOV,5
BEMANI,gigadelic -stance xxxx-,Hate,NOV,5
東方アレンジ,コミカルなミシャグジとラジエーション(PUNK IT ver.),void & ARM feat. ななひら & ちよこ,NOV,4
東方アレンジ,最果てのコトバ,幽閉サテライト (Arranged:Iceon) feat. senya,NOV,2
BEMANI,The Wind of Gold (folkcore remix),borzy,NOV,4
東方アレンジ,sweet dream,平茸＋夕野ヨシミ＋山本椛,NOV,2
BEMANI,FIRE FIRE -DARK BLAZE REMIX-,Yooh,NOV,6
BEMANI,Monkey Business (lapix Remix),lapix,NOV,5
BEMANI,Wuv U -More2 HAPPY Re-Mix Special-,Yu_Asahina,NOV,5
SDVXオリジナル,INSECTICIDE,Camellia,NOV,6
BEMANI,御千手メディテーション,昇天家族,NOV,6
BEMANI,KHAMEN BREAK,くふおー,NOV,5
BEMANI,Cleopatrysm,ピラミッ℃,NOV,6
ボーカロイド,悪性ロリィタマキャヴェリズム(EXIT TUNES),かいりきベア,NOV,6
東方アレンジ,Wave of Craze,Shiron,NOV,5
ボーカロイド,キリトリセン(EXIT TUNES),40mP,NOV,3
東方アレンジ,幻想浄瑠璃-Aya2g Tech Dance Remix-,Ayatsugu_Otowa,NOV,3
東方アレンジ,Flying!,Tracy feat.築山さえ,NOV,3
ボーカロイド,ぼくらのタイムカプセル(EXIT TUNES),ラムネ(村人P),NOV,4
東方アレンジ,柳の下のデュラハン hard chaos mix,albel.,NOV,6
東方アレンジ,wander+wonder+wand,uma,NOV,5
ひなビタ♪/バンめし♪,ミライプリズム,ここなつ,NOV,4
ボーカロイド,Idola,iconoclasm feat.GUMI,NOV,6
ボーカロイド,憂恋☆アクティベーション,u-z,NOV,5
ボーカロイド,幻想系世界修復少女(EXIT TUNES),Last Note.,NOV,5
ボーカロイド,City Edge,winddrums,NOV,3
ボーカロイド,second spring storm,Spacelectro,NOV,2
ボーカロイド,ドキドキ☆流星トラップガール!!,流星トラップボーイズ,NOV,3
ボーカロイド,バンブーソード・ガール(EXIT TUNES),cosMo＠暴走P,NOV,6
ボーカロイド,Baby Sherry,ぺのれり,NOV,5
東方アレンジ,Get out of my sight,void(IOSYS) feat. 厚志(石鹸屋)&周平(Silently Shooting Traitors),NOV,4
東方アレンジ,SPARKING 2012,IRON ATTACK!,NOV,4
東方アレンジ,ゼンマイ恋時計（T.E.B Summer Mix),A-One,NOV,4
東方アレンジ,#FairyJoke #SDVX_Edit,uno(IOSYS),NOV,3
東方アレンジ,マスパでシュッ☆メイドウィッチまりさちゃん,ARM(IOSYS) feat. 桃井はるこ,NOV,3
東方アレンジ,Lemures Prelude,EastNewSound,NOV,3
BEMANI,Sakura Mirage,Ryu☆,NOV,6
FLOOR,カレクレンマ,"Music by アサヒナユウ, Vocal by みかん汁",NOV,3
東方アレンジ,患部で止まってすぐ溶ける ～ 狂気の優曇華院,ARM(IOSYS),NOV,5
FLOOR,SPARKLING FANTASY,"Music by BlackY, Vocal by ぁゅ",NOV,4
東方アレンジ,ってゐ！ ～えいえんてゐVer～,石鹸屋,NOV,3
東方アレンジ,Mami Mami Zone,REDALiCE feat. 野宮あゆみ,NOV,4
FLOOR,mon$tage,"Music by Hommarju, Vocal by かぼちゃ",NOV,5
東方アレンジ,八雲藍の唯心論,君の美術館,NOV,3
東方アレンジ,信仰は儚き人間の為に ～ Arr.Demetori,Demetori,NOV,5
東方アレンジ,竹取飛翔,岸田教団＆THE明星ロケッツ,NOV,3
東方アレンジ,NEXT BILLIONAIRE,SOUND HOLIC feat. Nana Takahashi,NOV,4
東方アレンジ,Phantasm Brigade,Silver Forest,NOV,2
東方アレンジ,夕立、君と隠れ処,幽閉サテライト (Arranged:Iceon) feat. senya,NOV,2
FLOOR,Unlimited Field,"Music by 上村香月, Vocal by Kuroa*",NOV,5
ボーカロイド,終点(EXIT TUNES),cosMo＠暴走P,NOV,5
